_id,geometry.coordinates,geometry.type,properties.description,properties.id,properties.name,properties.parent_station,properties.route_id,properties.route_variante_id,properties.wheelchair_boarding,type
615615f357da3ca0b0969467,"[6.047417,47.268814]",Point,,CHEMPAL1,Chemin de Palente,st_chemin_de_palente,11,55-1,unknown,Feature
615615f357da3ca0b0969468,"[5.9860315,47.250774]",Point,,ARAGO1,Campus Arago,st_campus_arago,7,63-4,available,Feature
615615f357da3ca0b0969469,"[5.986145,47.243233]",Point,,PAPIN3,Papin,st_papin,9,5-4,unknown,Feature
615615f357da3ca0b096946a,"[6.0553303,47.263397]",Point,,t_marn2,Chalezeule - Marnières,st_chalezeule__marnieres,101,15-1,available,Feature
615615f357da3ca0b096946b,"[6.026228,47.252148]",Point,,CHASNOT1,Chasnot,st_chasnot,12,24-1,unknown,Feature
615615f357da3ca0b096946c,"[6.001019,47.232353]",Point,,JEANJAU2,Jean Jaurès,st_jean_jaures,4,116-1,available,Feature
615615f357da3ca0b096946d,"[6.025612831115723,47.25144958496094]",Point,,st_nicolas_bruand,Nicolas Bruand,,,,unknown,Feature
615615f357da3ca0b096946e,"[6.018096,47.251083]",Point,,LUMIERE1,Lumière,st_lumiere,5,109-3,available,Feature
615615f357da3ca0b096946f,"[5.973468,47.219864]",Point,,t_allen2,Allende,st_allende,101,15-1,available,Feature
615615f357da3ca0b0969470,"[6.04481,47.256077]",Point,,t_schw1,Schweitzer,st_schweitzer,101,15-0,available,Feature
615615f357da3ca0b0969471,"[6.040222,47.23055]",Point,,CHARDON1,Chardonnet,st_chardonnet,12,24-1,unknown,Feature
615615f357da3ca0b0969472,"[6.019811,47.24695]",Point,,GAVIONO1,Gare Viotte Nord,st_gare_viotte_nord,8,45-2,available,Feature
615615f357da3ca0b0969473,"[6.004894256591797,47.250221252441406]",Point,,st_notre_dame,Notre Dame,,,,unknown,Feature
615615f357da3ca0b0969474,"[5.984458,47.22803]",Point,,ORATOIR1,Oratoire,st_oratoire,4,116-4,available,Feature
615615f357da3ca0b0969475,"[6.043943405151367,47.228248596191406]",Point,,st_cite_des_gacognes,Cité des Gacognes,,,,unknown,Feature
615615f357da3ca0b0969476,"[6.0429354,47.253136]",Point,,t_lvai2,Les Vaîtes,st_les_vaites,101,15-1,available,Feature
615615f357da3ca0b0969477,"[6.021053314208984,47.25675964355469]",Point,,st_victor_gallois,Victor Gallois,,,,unknown,Feature
615615f357da3ca0b0969478,"[6.042394638061523,47.228965759277344]",Point,,st_place_guyon,Place Guyon,,,,unknown,Feature
615615f357da3ca0b0969479,"[6.016269,47.220257]",Point,,CHEMVEL2,Chemin de Velotte,st_chemin_de_velotte,9,5-2,unknown,Feature
615615f357da3ca0b096947a,"[6.026127,47.243076]",Point,,DENROCH2,Denfert Rochereau,st_denfert_rochereau,11,55-1,available,Feature
615615f357da3ca0b096947b,"[5.952857,47.21853]",Point,,RENECHA1,René Char,st_rene_char,4,116-4,unknown,Feature
615615f357da3ca0b096947c,"[5.971192,47.236176]",Point,,SANATOR1,Sanatorium,st_sanatorium,9,5-4,unknown,Feature
615615f357da3ca0b096947d,"[6.014415,47.230503]",Point,,CHAUDAN2,Chaudanne,st_chaudanne,9,5-4,unknown,Feature
615615f357da3ca0b096947e,"[5.963448,47.219803]",Point,,VIVARAI1,Vivarais,st_vivarais,7,63-4,unknown,Feature
615615f357da3ca0b096947f,"[6.04214,47.25672]",Point,,BELFORT2,Belfort,st_belfort,11,55-1,unknown,Feature
615615f357da3ca0b0969480,"[5.970577239990234,47.2218017578125]",Point,,st_college_diderot,Collège Diderot,,,,available,Feature
615615f357da3ca0b0969481,"[6.03633,47.23802]",Point,,FONTENO4,Fontenottes,st_fontenottes,10,88-4,unknown,Feature
615615f357da3ca0b0969482,"[6.019576,47.23951]",Point,,t_batt1,Battant,st_battant,102,15-0,available,Feature
